email,continent,country,sleep_hours,employment_status,study_hours,webinar_attendance_duration,score
student1@alx.edu,Africa,Nigeria,7,Employed,18,39,91
student2@alx.edu,Africa,South Africa,9,Employed,38,78,100
student3@alx.edu,Africa,Kenya,9,Employed,31,63,100
student4@alx.edu,Africa,Rwanda,8,Unemployed,26,48,100
student5@alx.edu,Africa,Morocco,9,Employed,10,25,76
student6@alx.edu,Africa,Egypt,6,Unemployed,10,22,71
student7@alx.edu,Africa,Ghana,8,Unemployed,,13,50
student8@alx.edu,Africa,Zimbabwe,3,Employed,35,71,100
student9@alx.edu,Africa,Ethiopia,4,Employed,26,47,100
student10@alx.edu,Africa,Nigeria,3,Unemployed,30,61,100
student11@alx.edu,Africa,South Africa,5,Unemployed,6,8,53
student12@alx.edu,Africa,Kenya,3,Unemployed,39,74,100
student13@alx.edu,Africa,Rwanda,10,Unemployed,34,64,100
student14@alx.edu,Africa,Morocco,3,Employed,12,28,84
student15@alx.edu,Africa,Egypt,1,Unemployed,11,21,75
student16@alx.edu,Africa,Ghana,5,Employed,11,27,74
student17@alx.edu,Africa,Zimbabwe,1,Employed,16,30,87
student18@alx.edu,Africa,Ethiopia,1,Employed,23,42,100
student19@alx.edu,Africa,Nigeria,2,Unemployed,20,37,100
student20@alx.edu,Africa,South Africa,5,Unemployed,15,34,91
student21@alx.edu,Africa,Kenya,4,Employed,26,52,100
student22@alx.edu,Africa,Rwanda,8,Employed,10,18,59
student23@alx.edu,Africa,Morocco,7,Employed,15,31,85
student24@alx.edu,Africa,Egypt,4,Employed,18,37,95
student25@alx.edu,Africa,Ghana,3,Unemployed,21,45,100
student26@alx.edu,Africa,Zimbabwe,3,Employed,32,69,100
student27@alx.edu,Africa,Ethiopia,8,Unemployed,12,23,76
student28@alx.edu,Africa,Nigeria,1,Unemployed,23,42,100
student29@alx.edu,Africa,South Africa,0,Unemployed,26,50,100
student30@alx.edu,Africa,Kenya,8,Unemployed,7,14,68
student31@alx.edu,Africa,Rwanda,5,Employed,26,50,100
student32@alx.edu,Africa,Morocco,1,Unemployed,11,19,81
student33@alx.edu,Africa,Egypt,2,Employed,7,16,61
student34@alx.edu,Africa,Ghana,9,Unemployed,,76,100
student35@alx.edu,Africa,Zimbabwe,9,Employed,39,78,100
student36@alx.edu,Africa,Ethiopia,7,Employed,33,64,100
student37@alx.edu,Africa,Nigeria,5,Employed,16,31,88
student38@alx.edu,Africa,South Africa,5,Employed,8,14,66
student39@alx.edu,Africa,Kenya,10,Employed,29,61,100
student40@alx.edu,Africa,Rwanda,10,Unemployed,20,44,92
student41@alx.edu,Africa,Morocco,2,Employed,9,13,64
student42@alx.edu,Africa,Egypt,8,Unemployed,22,42,100
student43@alx.edu,Africa,Ghana,2,Employed,6,8,59
student44@alx.edu,Africa,Zimbabwe,2,Unemployed,37,72,100
student45@alx.edu,Africa,Ethiopia,7,Unemployed,14,28,76
student46@alx.edu,Africa,Nigeria,4,Unemployed,28,52,100
student47@alx.edu,Africa,South Africa,9,Employed,16,29,84
student48@alx.edu,Africa,Kenya,1,Unemployed,23,43,100
student49@alx.edu,Africa,Rwanda,5,Employed,24,49,100
student50@alx.edu,Africa,Morocco,9,Employed,11,23,67
student51@alx.edu,Africa,Egypt,9,Unemployed,39,76,100
student52@alx.edu,Africa,Ghana,2,Unemployed,32,65,100
student53@alx.edu,Africa,Zimbabwe,4,Employed,38,74,100
student54@alx.edu,Africa,Ethiopia,6,Employed,36,72,100
student55@alx.edu,Africa,Nigeria,2,Employed,26,57,100
student56@alx.edu,Africa,South Africa,10,Employed,37,79,100
student57@alx.edu,Africa,Kenya,9,Employed,8,12,58
student58@alx.edu,Africa,Rwanda,2,Employed,12,26,89
student59@alx.edu,Africa,Morocco,1,Unemployed,7,16,67
student60@alx.edu,Africa,Egypt,1,Employed,16,29,100
student61@alx.edu,Africa,Ghana,9,Employed,19,40,87
student62@alx.edu,Africa,Zimbabwe,2,Unemployed,14,34,100
student63@alx.edu,Africa,Ethiopia,4,Unemployed,34,65,100
student64@alx.edu,Africa,Nigeria,4,Unemployed,17,32,90
student65@alx.edu,Africa,South Africa,6,Employed,15,33,86
student66@alx.edu,Africa,Kenya,1,Unemployed,24,49,100
student67@alx.edu,Africa,Rwanda,2,Unemployed,10,22,80
student68@alx.edu,Africa,Morocco,9,Employed,33,67,100
student69@alx.edu,Africa,Egypt,9,Employed,8,16,55
student70@alx.edu,Africa,Ghana,8,Employed,,75,100
student71@alx.edu,Africa,Zimbabwe,0,Employed,32,67,100
student72@alx.edu,Africa,Ethiopia,3,Unemployed,12,27,87
student73@alx.edu,Africa,Nigeria,6,Employed,5,10,52
student74@alx.edu,Africa,South Africa,3,Unemployed,34,67,100
student75@alx.edu,Africa,Kenya,9,Employed,30,55,100
student76@alx.edu,Africa,Rwanda,6,Unemployed,31,63,100
student77@alx.edu,Africa,Morocco,1,Employed,32,66,100
student78@alx.edu,Africa,Egypt,9,Employed,8,15,54
student79@alx.edu,Africa,Ghana,10,Employed,18,38,95
student80@alx.edu,Africa,Zimbabwe,1,Unemployed,9,17,80
student81@alx.edu,Africa,Ethiopia,5,Unemployed,35,72,100
student82@alx.edu,Africa,Nigeria,3,Unemployed,27,51,100
student83@alx.edu,Africa,South Africa,4,Employed,17,33,91
student84@alx.edu,Africa,Kenya,2,Unemployed,7,14,69
student85@alx.edu,Africa,Rwanda,6,Employed,16,32,92
student86@alx.edu,Africa,Morocco,10,Employed,16,32,89
student87@alx.edu,Africa,Egypt,5,Employed,31,61,100
student88@alx.edu,Africa,Ghana,1,Unemployed,,57,100
student89@alx.edu,Africa,Zimbabwe,6,Employed,36,71,100
student90@alx.edu,Africa,Ethiopia,3,Unemployed,22,38,100
student91@alx.edu,Africa,Nigeria,9,Employed,9,24,67
student92@alx.edu,Africa,South Africa,4,Employed,30,64,100
student93@alx.edu,Africa,Kenya,2,Employed,32,59,100
student94@alx.edu,Africa,Rwanda,2,Unemployed,25,51,100
student95@alx.edu,Africa,Morocco,8,Unemployed,32,62,100
student96@alx.edu,Africa,Egypt,3,Employed,22,45,100
student97@alx.edu,Africa,Ghana,8,Unemployed,23,47,100
student98@alx.edu,Africa,Zimbabwe,2,Unemployed,20,39,100
student99@alx.edu,Africa,Ethiopia,3,Employed,6,9,60
student100@alx.edu,Africa,Nigeria,5,Employed,9,15,59
student101@alx.edu,Africa,South Africa,9,Unemployed,6,9,40
student102@alx.edu,Africa,Kenya,9,Employed,27,52,100
student103@alx.edu,Africa,Rwanda,2,Employed,16,32,91
student104@alx.edu,Africa,Morocco,4,Unemployed,23,43,100
student105@alx.edu,Africa,Egypt,1,Unemployed,37,76,100
student106@alx.edu,Africa,Ghana,5,Employed,14,32,79
student107@alx.edu,Africa,Zimbabwe,5,Unemployed,19,37,99
student108@alx.edu,Africa,Ethiopia,9,Unemployed,31,64,100
student109@alx.edu,Africa,Nigeria,9,Employed,13,28,74
student110@alx.edu,Africa,South Africa,4,Employed,8,17,73
student111@alx.edu,Africa,Kenya,5,Employed,15,31,80
student112@alx.edu,Africa,Rwanda,9,Employed,11,24,71
student113@alx.edu,Africa,Morocco,8,Unemployed,38,77,100
student114@alx.edu,Africa,Egypt,0,Unemployed,33,63,100
student115@alx.edu,Africa,Ghana,3,Employed,27,57,100
student116@alx.edu,Africa,Zimbabwe,4,Employed,36,74,100
student117@alx.edu,Africa,Ethiopia,2,Employed,33,64,100
student118@alx.edu,Africa,Nigeria,2,Employed,12,23,75
student119@alx.edu,Africa,South Africa,0,Unemployed,36,75,100
student120@alx.edu,Africa,Kenya,6,Unemployed,24,47,100
student121@alx.edu,Africa,Rwanda,3,Employed,33,70,100
student122@alx.edu,Africa,Morocco,1,Employed,36,80,100
student123@alx.edu,Africa,Egypt,2,Unemployed,16,30,94
student124@alx.edu,Africa,Ghana,8,Unemployed,9,14,64
student125@alx.edu,Africa,Zimbabwe,9,Unemployed,13,27,77
student126@alx.edu,Africa,Ethiopia,5,Unemployed,20,42,100
student127@alx.edu,Africa,Nigeria,4,Employed,34,67,100
student128@alx.edu,Africa,South Africa,10,Unemployed,35,75,100
student129@alx.edu,Africa,Kenya,2,Unemployed,5,6,62
student130@alx.edu,Africa,Rwanda,2,Unemployed,23,48,100
student131@alx.edu,Africa,Morocco,3,Employed,20,37,100
student132@alx.edu,Africa,Egypt,2,Employed,13,31,76
student133@alx.edu,Africa,Ghana,4,Unemployed,9,24,73
student134@alx.edu,Africa,Zimbabwe,9,Unemployed,17,31,78
student135@alx.edu,Africa,Ethiopia,6,Employed,38,74,100
student136@alx.edu,Africa,Nigeria,4,Employed,16,35,91
student137@alx.edu,Africa,South Africa,9,Unemployed,23,45,100
student138@alx.edu,Africa,Kenya,0,Employed,30,59,100
student139@alx.edu,Africa,Rwanda,2,Unemployed,18,36,100
student140@alx.edu,Africa,Morocco,6,Employed,39,72,100
student141@alx.edu,Africa,Egypt,6,Unemployed,39,77,100
student142@alx.edu,Africa,Ghana,0,Unemployed,14,26,88
student143@alx.edu,Africa,Zimbabwe,4,Employed,22,43,99
student144@alx.edu,Africa,Ethiopia,6,Unemployed,16,35,86
student145@alx.edu,Africa,Nigeria,7,Employed,15,26,79
student146@alx.edu,Africa,South Africa,6,Employed,6,15,57
student147@alx.edu,Africa,Kenya,3,Employed,26,52,100
student148@alx.edu,Africa,Rwanda,1,Unemployed,23,44,100
student149@alx.edu,Africa,Morocco,4,Unemployed,7,16,65
student150@alx.edu,Africa,Egypt,1,Unemployed,15,31,93
student151@alx.edu,Africa,Ghana,9,Employed,37,75,100
student152@alx.edu,Africa,Zimbabwe,5,Unemployed,13,30,81
student153@alx.edu,Africa,Ethiopia,3,Unemployed,10,19,77
student154@alx.edu,Africa,Nigeria,8,Unemployed,22,42,100
student155@alx.edu,Africa,South Africa,5,Unemployed,39,76,100
student156@alx.edu,Africa,Kenya,3,Employed,13,24,84
student157@alx.edu,Africa,Rwanda,8,Unemployed,29,66,100
student158@alx.edu,Africa,Morocco,9,Employed,32,67,100
student159@alx.edu,Africa,Egypt,7,Employed,13,23,79
student160@alx.edu,Africa,Ghana,0,Employed,30,57,100
student161@alx.edu,Africa,Zimbabwe,6,Employed,18,37,85
student162@alx.edu,Africa,Ethiopia,8,Unemployed,27,56,100
student163@alx.edu,Africa,Nigeria,1,Unemployed,27,56,100
student164@alx.edu,Africa,South Africa,2,Unemployed,24,47,100
student165@alx.edu,Africa,Kenya,9,Employed,8,16,56
student166@alx.edu,Africa,Rwanda,0,Unemployed,34,69,100
student167@alx.edu,Africa,Morocco,8,Employed,16,33,79
student168@alx.edu,Africa,Egypt,5,Unemployed,,16,66
student169@alx.edu,Africa,Ghana,4,Unemployed,6,12,62
student170@alx.edu,Africa,Zimbabwe,0,Unemployed,26,49,100
student171@alx.edu,Africa,Ethiopia,8,Employed,29,58,100
student172@alx.edu,Africa,Nigeria,4,Unemployed,6,20,67
student173@alx.edu,Africa,South Africa,5,Employed,23,47,100
student174@alx.edu,Africa,Kenya,7,Employed,13,25,73
student175@alx.edu,Africa,Rwanda,7,Employed,28,58,100
student176@alx.edu,Africa,Morocco,10,Unemployed,11,24,80
student177@alx.edu,Africa,Egypt,5,Unemployed,29,60,100
student178@alx.edu,Africa,Ghana,4,Employed,19,39,95
student179@alx.edu,Africa,Zimbabwe,10,Employed,38,82,100
student180@alx.edu,Africa,Ethiopia,6,Employed,10,16,63
student181@alx.edu,Africa,Nigeria,3,Employed,17,35,88
student182@alx.edu,Africa,South Africa,1,Employed,9,15,77
student183@alx.edu,Africa,Kenya,8,Unemployed,37,76,100
student184@alx.edu,Africa,Rwanda,4,Unemployed,36,69,100
student185@alx.edu,Africa,Morocco,7,Unemployed,14,27,75
student186@alx.edu,Africa,Egypt,5,Employed,,55,100
student187@alx.edu,Africa,Ghana,2,Employed,34,70,100
student188@alx.edu,Africa,Zimbabwe,6,Unemployed,24,52,100
student189@alx.edu,Africa,Ethiopia,1,Unemployed,24,43,100
student190@alx.edu,Africa,Nigeria,4,Employed,13,27,86
student191@alx.edu,Africa,South Africa,5,Employed,8,14,66
student192@alx.edu,Africa,Kenya,4,Employed,36,69,100
student193@alx.edu,Africa,Rwanda,7,Unemployed,37,72,100
student194@alx.edu,Africa,Morocco,8,Employed,27,53,100
student195@alx.edu,Africa,Egypt,8,Employed,17,41,93
student196@alx.edu,Africa,Ghana,0,Employed,17,36,100
student197@alx.edu,Africa,Zimbabwe,2,Unemployed,30,57,100
student198@alx.edu,Africa,Ethiopia,5,Employed,36,71,100
student199@alx.edu,Africa,Nigeria,9,Unemployed,36,75,100
student200@alx.edu,Africa,South Africa,8,Employed,32,71,100
student201@alx.edu,Africa,Kenya,8,Employed,27,50,100
student202@alx.edu,Africa,Rwanda,3,Unemployed,8,10,65
student203@alx.edu,Africa,Morocco,4,Employed,11,27,75
student204@alx.edu,Africa,Egypt,5,Unemployed,36,74,100
student205@alx.edu,Africa,Ghana,2,Employed,26,50,100
student206@alx.edu,Africa,Zimbabwe,0,Unemployed,5,12,70
student207@alx.edu,Africa,Ethiopia,9,Employed,9,9,54
student208@alx.edu,Africa,Nigeria,2,Unemployed,28,56,100
student209@alx.edu,Africa,South Africa,2,Unemployed,5,11,51
student210@alx.edu,Africa,Kenya,1,Employed,11,24,72
student211@alx.edu,Africa,Rwanda,9,Unemployed,24,45,100
student212@alx.edu,Africa,Morocco,6,Employed,29,59,100
student213@alx.edu,Africa,Egypt,7,Unemployed,28,53,100
student214@alx.edu,Africa,Ghana,9,Employed,13,26,73
student215@alx.edu,Africa,Zimbabwe,3,Employed,30,57,100
student216@alx.edu,Africa,Ethiopia,6,Employed,13,25,73
student217@alx.edu,Africa,Nigeria,0,Employed,16,30,97
student218@alx.edu,Africa,South Africa,2,Unemployed,31,64,100
student219@alx.edu,Africa,Kenya,8,Employed,28,58,100
student220@alx.edu,Africa,Rwanda,8,Employed,35,69,100
student221@alx.edu,Africa,Morocco,4,Employed,28,56,100
student222@alx.edu,Africa,Egypt,4,Employed,25,45,100
student223@alx.edu,Africa,Ghana,5,Employed,8,16,56
